  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 240234      ,Em*,348.6435766,59.8367286,111.0369333,-0.779050028,B0                  ,3408.456503
HD 99354       ,Be*,171.3072991,-61.27686451,292.7636413,-0.118688718,B1IIIne             ,3433.502451
BD+59 2786     ,Em*,358.4854278,60.37403132,115.8796924,-1.708078623,B0                  ,3438.886568
BD+56 657      ,Em*,38.39081873,57.5435719,136.320242,-2.649188853,B1V                 ,3450.139868
BD+48 1098     ,Em*,67.16508587,48.59861353,155.4179177,-0.079085896,B5                  ,3483.242673
HD 68552       ,Em*,122.9259936,-32.15383999,250.2456786,0.908541371,B5Ib/II             ,3484.161613
HD 303142      ,Em*,160.0024147,-57.54977826,286.005067,0.937348003,B0                  ,3507.344005
HD 305296      ,Be*,157.9160885,-60.28636735,286.4287142,-1.97254734,OB+e                ,3530.238514
HD 306002      ,Em*,166.4554774,-61.14134779,290.5365441,-0.837353924,B5                  ,3532.610884
HD 33599       ,Be*,76.80395452,-61.80508208,271.3250805,-35.91456296,B2Vpe               ,3592.373514
HD 219287      ,Em*,348.5146818,59.37472457,110.8071083,-1.185124619,B0                  ,3641.359227
HD 224424      ,Be*,359.4487256,59.72011688,116.209925,-2.449693095,B0e                 ,3799.652976
HD 235640      ,Em*,327.6519135,55.23433859,99.05807559,0.976322752,B2                  ,3811.459424
HD 216411      ,Em*,342.8907225,59.00854341,108.0269437,-0.349721123,B0                  ,3855.919519
HD 93618       ,Be*,161.842266,-57.16720587,286.7005452,1.742129472,B2Ve                ,3868.088941
HD 219286      ,Em*,348.4936233,59.82016468,110.96073,-0.76686897,B0                  ,3938.96568
HD 150533      ,Be*,250.9261623,-45.46261501,339.4616167,0.294799097,B0                  ,nan
HD 148379      ,Be*,247.4263631,-46.24323111,337.2455507,1.57564944,B2Iab               ,nan
HD 22928       ,Be*,55.73126773,47.78754851,150.2834098,-5.768438451,B5III               ,nan
HD 208392      ,Be*,328.4504049,62.6144165,104.0308588,6.456070088,B1Vn                ,nan
HD 52437       ,Be*,105.0806856,-22.11906715,233.7231829,-8.032658963,B3Vnn               ,nan
HD 56847       ,Be*,109.5401644,-15.62832059,229.8451459,-1.325392638,B5Ib                ,nan
HD 63359       ,Be*,116.8833118,-26.68190125,242.8263626,-0.690565947,OB                  ,nan
HD 76838       ,Be*,134.2814669,-43.25619656,264.4919693,1.458319682,B2IV                ,nan
HD 90578       ,Be*,156.500788,-57.82693311,284.5302533,-0.247698161,B1Ib/II             ,nan
HD 95972       ,Be*,165.7903529,-61.76874738,290.4965712,-1.539519112,B2Vnn               ,nan
HD 256577      ,Be*,96.00074478,8.300693551,202.4158555,-2.254656319,B1V                 ,nan
